סמל ישוב	שם ישוב	סמל נפה	שם נפה
15	נועם	61	אשקלון
1333	נוף איילון	43	רמלה
3790	נופים	73	טול כרם
1284	נופית	31	חיפה
257	נופך	42	פתח תקווה
3726	נוקדים	76	בית לחם
447	נורדיה	41	השרון
833	נורית	23	עפולה
59	נחושה	11	ירושלים
844	נחל עוז	61	אשקלון
2045	נחלה	61	אשקלון
3767	נחליאל	74	ראמאללה
449	נחלים	42	פתח תקווה
809	נחם	11	ירושלים
522	נחף	24	עכו
433	נחשולים	32	חדרה
777	נחשון	11	ירושלים
705	נחשונים	42	פתח תקווה
1147	נטועה	24	עכו
4014	נטור	29	גולן
1369	נטע	61	אשקלון
174	נטעים	44	רחובות
1254	נטף	11	ירושלים
523	ניין	23	עפולה
3655	ניל"י	74	ראמאללה
5426	ניסנית	86	ג'באליא
351	ניצן	61	אשקלון
1419	ניצן ב'	61	אשקלון
1195	ניצנה )קהילת חינוך(	62	באר שבע
1280	ניצני סיני	62	באר שבע
851	ניצני עוז	41	השרון
359	ניצנים	61	אשקלון
808	ניר אליהו	42	פתח תקווה
553	ניר בנים	61	אשקלון
720	ניר גלים	44	רחובות
256	ניר דוד )תל עמל(	23	עפולה
11	ניר ח"ן	61	אשקלון
165	ניר יפה	23	עפולה
402	ניר יצחק	62	באר שבע
699	ניר ישראל	61	אשקלון
2047	ניר משה	62	באר שבע
69	ניר עוז	62	באר שבע
348	ניר עם	61	אשקלון
769	ניר עציון	32	חדרה
2048	ניר עקיבא	62	באר שבע
331	ניר צבי	43	רמלה
602	נירים	62	באר שבע
1236	נירית	42	פתח תקווה
3620	נירן	75	ירדן )יריחו(
825	נס הרים	11	ירושלים
1143	נס עמים	24	עכו
7200	נס ציונה	44	רחובות
186	נעורים	41	השרון
3787	נעלה	74	ראמאללה
3713	נעמ"ה	75	ירדן )יריחו(
158	נען	43	רמלה
1041	נצאצרה )שבט(	62	באר שבע
1372	נצר חזני	44	רחובות
5410	נצר חזני*	82	חאן יונס
435	נצר סרני	43	רמלה
7300	נצרת	25	נצרת
1061	נצרת עילית	25	נצרת
2500	נשר	31	חיפה
3555	נתיב הגדוד	75	ירדן )יריחו(
693	נתיב הל"ה	11	ירושלים
1242	נתיב העשרה	61	אשקלון
792	נתיב השיירה	24	עכו
246	נתיבות	62	באר שבע
7400	נתניה	41	השרון
525	סאג'ור	24	עכו
578	סאסא	21	צפת
587	סביון	42	פתח תקווה
2046	סגולה	61	אשקלון
942	סואעד )חמרייה(	24	עכו
989	סואעד )כמאנה( )שבט(	24	עכו
526	סולם	23	עפולה
3756	סוסיה	77	חברון
1238	סופה	62	באר שבע
7500	סח'נין	24	עכו
1170	סייד )שבט(	62	באר שבע
1245	סלמה	24	עכו
3567	סלעית	73	טול כרם
1156	סמר	62	באר שבע
1328	סנסנה	62	באר שבע
419	סעד	62	באר שבע
454	סער	24	עכו
1176	ספיר	62	באר שבע
610	סתריה	43	רמלה
892	עבדון	24	עכו
376	עברון	24	עכו
794	עגור	11	ירושלים
4501	ע'ג'ר	29	גולן
1199	עדי	24	עכו
2035	עדנים	42	פתח תקווה
826	עוזה	61	אשקלון
528	עוזייר	25	נצרת
737	עולש	41	השרון
666	עומר	62	באר שבע
810	עופר	32	חדרה
3617	עופרה	74	ראמאללה
32	עוצם	61	אשקלון
957	עוקבי )בנו עוקבה(	62	באר שבע
328	עזוז	62	באר שבע
1149	עזר	61	אשקלון
837	עזריאל	41	השרון
711	עזריה	43	רמלה
817	עזריקם	61	אשקלון
969	עטאוונה )שבט(	62	באר שבע
3658	עטרת	74	ראמאללה
1175	עידן	62	באר שבע
530	עיילבון	22	כנרת
156	עיינות	44	רחובות
511	עילוט	25	נצרת
687	עין איילה	32	חדרה
546	עין אל-אסד	24	עכו
273	עין גב	22	כנרת
2042	עין גדי	62	באר שבע
436	עין דור	23	עפולה
1240	עין הבשור	62	באר שבע
74	עין הוד	32	חדרה
167	עין החורש	41	השרון
289	עין המפרץ	24	עכו
383	עין הנצי"ב	23	עפולה
367	עין העמק	23	עפולה
270	עין השופט	23	עפולה
676	עין השלושה	62	באר שבע
157	עין ורד	41	השרון
4503	עין זיוון	29	גולן
1320	עין חוד	32	חדרה
1053	עין חצבה	62	באר שבע
89	עין חרוד )איחוד(	23	עפולה
82	עין חרוד )מאוחד(	23	עפולה
806	עין יהב	62	באר שבע
813	עין יעקב	24	עכו
1056	עין כרם-בי"ס חקלאי	11	ירושלים
426	עין כרמל	32	חדרה
532	עין מאהל	25	נצרת
521	עין נקובא	11	ירושלים
223	עין עירון	32	חדרה
622	עין צורים	61	אשקלון
4502	עין קנייא	29	גולן
514	עין ראפה	11	ירושלים
139	עין שמר	32	חדרה
880	עין שריד	41	השרון
1251	עין תמר	62	באר שבע
871	עינת	42	פתח תקווה
1187	עיר אובות	62	באר שבע
7600	עכו	24	עכו
1146	עלומים	62	באר שבע
3765	עלי	72	שכם
3727	עלי זהב	73	טול כרם
688	עלמה	21	צפת
3715	עלמון	74	ראמאללה
1212	עמוקה	21	צפת
779	עמינדב	11	ירושלים
385	עמיעד	21	צפת
318	עמיעוז	62	באר שבע
773	עמיקם	32	חדרה
319	עמיר	21	צפת
3660	עמנואל	73	טול כרם
708	עמקה	24	עכו
3712	ענב	73	טול כרם
534	עספיא	31	חיפה
7700	עפולה	23	עפולה
3778	עץ אפרים	73	טול כרם
917	עצמון שגב	24	עכו
531	עראבה	24	עכו
1246	עראמשה	24	עכו
1335	ערב אל נעים	24	עכו
2560	ערד	62	באר שבע
593	ערוגות	61	אשקלון
637	ערערה	32	חדרה
1192	ערערה-בנגב	62	באר שבע
591	עשרת	44	רחובות
53	עתלית	32	חדרה
3748	עתניאל	77	חברון
1151	פארן	62	באר שבע
3768	פדואל	73	טול כרם
750	פדויים	62	באר שבע
838	פדיה	43	רמלה
1104	פוריה - כפר עבודה	22	כנרת
1105	פוריה - נווה עובד	22	כנרת
1313	פוריה עילית	22	כנרת
537	פוריידיס	32	חדרה
767	פורת	41	השרון
749	פטיש	62	באר שבע
1185	פלך	24	עכו
597	פלמחים	44	רחובות
3723	פני חבר	77	חברון
3659	פסגות	74	ראמאללה
535	פסוטה	24	עכו
2059	פעמי תש"ז	62	באר שבע
3615	פצאל	75	ירדן )יריחו(
536	פקיעין )בוקייעה(	24	עכו
281	פקיעין חדשה	24	עכו
7800	פרדס חנה-כרכור	32	חדרה
171	פרדסיה	41	השרון
599	פרוד	21	צפת
2053	פרזון	23	עפולה
1231	פרי גן	62	באר שבע
7900	פתח תקווה	42	פתח תקווה
839	פתחיה	43	רמלה
413	צאלים	62	באר שבע
1180	צביה	24	עכו
1213	צבעון	21	צפת
465	צובה	11	ירושלים
1136	צוחר	62	באר שבע
1111	צופיה	44	רחובות
3791	צופים	73	טול כרם
198	צופית	42	פתח תקווה
1150	צופר	62	באר שבע
1102	צוקי ים	41	השרון
1262	צוקים	62	באר שבע
1113	צור הדסה	11	ירושלים
1345	צור יצחק	42	פתח תקווה
276	צור משה	41	השרון
1148	צור נתן	42	פתח תקווה
774	צוריאל	24	עכו
1221	צורית	24	עכו
613	ציפורי	23	עפולה
796	צלפון	11	ירושלים
636	צנדלה	23	עפולה
594	צפריה	43	רמלה
1079	צפרירים	11	ירושלים
8000	צפת	21	צפת
612	צרופה	32	חדרה
567	צרעה	11	ירושלים
1234	קבועה )שבט(	62	באר שבע
334	קבוצת יבנה	44	רחובות
3557	קדומים	73	טול כרם
195	קדימה-צורן	41	השרון
392	קדמה	61	אשקלון
4025	קדמת צבי	29	גולן
3781	קדר	76	בית לחם
615	קדרון	44	רחובות
1211	קדרים	22	כנרת
964	קודייראת א-צאנע)שבט(	62	באר שבע
972	קוואעין )שבט(	62	באר שבע
766	קוממיות	61	אשקלון
1179	קורנית	24	עכו
1052	קטורה	62	באר שבע
5423	קטיף	82	חאן יונס
1167	קיסריה	32	חדרה
414	קלחים	62	באר שבע
3601	קליה	75	ירדן )יריחו(
638	קלנסווה	41	השרון
4024	קלע	29	גולן
1243	קציר	32	חדרה
1347	קצר א-סר	62	באר שבע
4100	קצרין	29	גולן
2620	קריית אונו	52	רמת גן
3611	קריית ארבע	77	חברון
6800	קריית אתא	31	חיפה
9500	קריית ביאליק	31	חיפה
2630	קריית גת	61	אשקלון
2300	קריית טבעון	31	חיפה
9600	קריית ים	31	חיפה
1137	קריית יערים	11	ירושלים
2039	קריית יערים)מוסד(	11	ירושלים
8200	קריית מוצקין	31	חיפה
1034	קריית מלאכי	61	אשקלון
3746	קריית נטפים	73	טול כרם
78	קריית ענבים	11	ירושלים
469	קריית עקרון	44	רחובות
412	קריית שלמה	41	השרון
2800	קריית שמונה	21	צפת
3640	קרני שומרון	73	טול כרם
4006	קשת	29	גולן
543	ראמה	24	עכו
1334	ראס אל-עין	24	עכו
990	ראס עלי	31	חיפה
2640	ראש העין	42	פתח תקווה
26	ראש פינה	21	צפת
3602	ראש צורים	76	בית לחם
8300	ראשון לציון	44	רחובות
3795	רבבה	72	שכם
564	רבדים	61	אשקלון
354	רביבים	62	באר שבע
1225	רביד	22	כנרת
390	רגבה	24	עכו
444	רגבים	32	חדרה
1161	רהט	62	באר שבע
2051	רווחה	61	אשקלון
2016	רוויה	23	עפולה
1341	רוח מדבר	62	באר שבע
362	רוחמה	61	אשקלון
539	רומאנה	25	נצרת
997	רומת הייב	25	נצרת
3619	רועי	75	ירדן )יריחו(
3782	רותם	75	ירדן )יריחו(
854	רחוב	23	עפולה
8400	רחובות	44	רחובות
540	ריחאניה	21	צפת
3568	ריחן	71	ג'נין
542	ריינה	25	נצרת
3565	רימונים	74	ראמאללה
616	רינתיה	42	פתח תקווה
922	רכסים	31	חיפה
1069	רם-און	23	עפולה
4702	רמות	29	גולן
206	רמות השבים	42	פתח תקווה
735	רמות מאיר	43	רמלה
445	רמות מנשה	23	עפולה
372	רמות נפתלי	21	צפת
8500	רמלה	43	רמלה
8600	רמת גן	52	רמת גן
135	רמת דוד	23	עפולה
184	רמת הכובש	42	פתח תקווה
335	רמת השופט	23	עפולה
2650	רמת השרון	51	תל אביב
178	רמת יוחנן	31	חיפה
122	רמת ישי	23	עפולה
4701	רמת מגשימים	29	גולן
339	רמת צבי	23	עפולה
460	רמת רזיאל	11	ירושלים
127	רמת רחל	11	ירושלים
789	רנן	62	באר שבע
713	רעים	62	באר שבע
8700	רעננה	42	פתח תקווה
1228	רקפת	24	עכו
247	רשפון	41	השרון
437	רשפים	23	עפולה
1260	רתמים	62	באר שבע
3711	שא-נור	71	ג'נין
324	שאר ישוב	21	צפת
282	שבי ציון	24	עכו
3571	שבי שומרון	72	שכם
913	שבלי - אום אל-גנם	23	עפולה
1286	שגב-שלום	62	באר שבע
721	שדה אילן	22	כנרת
304	שדה אליהו	23	עפולה
861	שדה אליעזר	21	צפת
885	שדה בוקר	62	באר שבע
36	שדה דוד	61	אשקלון
284	שדה ורבורג	42	פתח תקווה
293	שדה יואב	61	אשקלון
142	שדה יעקב	23	עפולה
2008	שדה יצחק	32	חדרה
18	שדה משה	61	אשקלון
259	שדה נחום	23	עפולה
329	שדה נחמיה	21	צפת
1058	שדה ניצן	62	באר שבע
739	שדה עוזיהו	61	אשקלון
2049	שדה צבי	62	באר שבע
327	שדות ים	32	חדרה
27	שדות מיכה	11	ירושלים
1223	שדי אברהם	62	באר שבע
2015	שדי חמד	42	פתח תקווה
2057	שדי תרומות	23	עפולה
555	שדמה	44	רחובות
306	שדמות דבורה	22	כנרת
3578	שדמות מחולה	75	ירדן )יריחו(
1031	שדרות	61	אשקלון
741	שואבה	11	ירושלים
761	שובה	62	באר שבע
394	שובל	62	באר שבע
1304	שוהם	43	רמלה
614	שומרה	24	עכו
1265	שומריה	62	באר שבע
415	שוקדה	62	באר שבע
456	שורש	11	ירושלים
1235	שורשים	24	עכו
224	שושנת העמקים	41	השרון
527	שזור	24	עכו
7	שחר	61	אשקלון
1266	שחרות	62	באר שבע
865	שיבולים	62	באר שבע
1267	שיטים	62	באר שבע
658	שייח' דנון	24	עכו
3641	שילה	74	ראמאללה
1165	שילת	43	רמלה
1160	שכניה	24	עכו
873	שלווה	61	אשקלון
1373	שלווה במדבר	62	באר שבע
439	שלוחות	23	עפולה
812	שלומי	24	עכו
1364	שלומית	62	באר שבע
5434	שליו	80	רפיח
366	שמיר	21	צפת
3784	שמעה	77	חברון
432	שמרת	24	עכו
1337	שמשית	23	עפולה
1287	שני	62	באר שבע
1132	שניר	21	צפת
538	שעב	24	עכו
1299	שעורים	22	כנרת
4009	שעל	29	גולן
856	שעלבים	43	רמלה
661	שער אפרים	41	השרון
264	שער הגולן	22	כנרת
237	שער העמקים	31	חיפה
921	שער מנשה	32	חדרה
3720	שערי תקווה	73	טול כרם
232	שפיים	41	השרון
692	שפיר	61	אשקלון
846	שפר	21	צפת
8800	שפרעם	24	עכו
3649	שקד	71	ג'נין
1233	שקף	61	אשקלון
292	שרונה	22	כנרת
1114	שריגים )לי-און(	11	ירושלים
126	שריד	23	עפולה
398	שרשרת	62	באר שבע
1045	שתולה	24	עכו
763	שתולים	61	אשקלון
2062	תאשור	62	באר שבע
2061	תדהר	62	באר שבע
1172	תובל	24	עכו
3558	תומר	75	ירדן )יריחו(
1083	תושיה	62	באר שבע
163	תימורים	61	אשקלון
10	תירוש	11	ירושלים
5000	תל אביב - יפו	51	תל אביב
84	תל יוסף	23	עפולה
287	תל יצחק	41	השרון
154	תל מונד	41	השרון
103	תל עדשים	23	עפולה
719	תל קציר	22	כנרת
1054	תל שבע	62	באר שבע
1283	תל תאומים	23	עפולה
3719	תלם	77	חברון
1051	תלמי אליהו	62	באר שבע
2003	תלמי אלעזר	32	חדרה
2050	תלמי ביל"ו	62	באר שבע
1237	תלמי יוסף	62	באר שבע
727	תלמי יחיאל	61	אשקלון
744	תלמי יפה	61	אשקלון
814	תלמים	61	אשקלון
1244	תמרת	23	עפולה
2002	תנובות	41	השרון
752	תעוז	11	ירושלים
709	תפרח	62	באר שבע
665	תקומה	62	באר שבע
3563	תקוע	76	בית לחם
970	תראבין א-צאנע )שבט(	62	באר שבע
1346	תראבין א-צאנע)ישוב(	62	באר שבע
778	תרום	11	ירושלים
